Rank,Game,Platform,Hours Played,Sessions,First Played,Last Played,Last Update
104,Assassin's Creed Valhalla,PS5,6,6,2022-06-22,2022-07-02,2026-04-01
105,Shadow of the Tomb Raider,PS4,6,1,2025-02-27,2025-02-28,2026-04-01
106,Persona 5 Strikers,PS4,6,5,2022-01-06,2024-08-01,2026-04-01
107,The Elder Scrolls Online,PS4,6,3,2024-03-30,2024-04-01,2026-04-01
108,Infinity Nikki,PS5,6,11,2024-12-06,2024-12-23,2026-04-01
109,The Elder Scrolls Online,PS5,5,2,2022-04-19,2022-06-22,2026-04-01
110,BioShock: The Collection (2nd entry),PS4,5,1,2022-04-03,2022-04-04,2026-04-01
111,Assassin's Creed Unity,PS4,5,2,2021-11-13,2022-07-28,2026-04-01
112,Cyberpunk 2077 (2nd entry),PS4,5,10,2024-10-05,2024-11-10,2026-04-01
113,Tiny Tina's Assault on Dragon Keep,PS4,5,1,2022-02-07,2022-02-07,2026-04-01
114,Doki Doki Literature Club Plus!,PS4,5,3,2025-01-18,2025-01-21,2026-04-01
115,MLB The Show 17,PS4,5,4,2022-06-18,2022-06-21,2026-04-01
116,OCTOPATH TRAVELER II,PS5,5,2,2025-12-26,2026-01-04,2026-04-01
117,Hades,PS4,4,3,2022-12-29,2025-04-08,2026-04-01
118,FIFA 22,PS5,4,3,2022-12-20,2022-12-24,2026-04-01
119,Bayonetta,PS4,4,6,2024-12-09,2025-01-13,2026-04-01
120,Doki Doki Literature Club Plus! (PS5),PS5,4,6,2024-10-04,2025-01-18,2026-04-01
121,Roblox,PS4,4,2,2024-10-08,2024-11-22,2026-04-01
122,Need for Speed Unbound,PS5,4,2,2023-05-17,2023-05-20,2026-04-01
123,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,PS5,4,13,2023-12-25,2024-09-21,2026-04-01
124,Apex Legends,PS5,3,2,2025-04-14,2025-04-14,2026-04-01
125,Castle Crashers Remastered,PS4,3,3,2021-11-27,2025-08-22,2026-04-01
126,Tales of Arise,PS4,3,2,2024-10-04,2024-11-11,2026-04-01
127,Team Sonic Racing,PS4,4,6,2022-06-23,2022-12-26,2026-04-01
128,Battlefield V,PS4,3,6,2024-10-14,2024-12-06,2026-04-01
129,Atelier Yumia,PS5,3,1,2025-05-11,2025-05-11,2026-04-01
130,Zenless Zone Zero,PS5,3,3,2024-07-06,2025-05-15,2026-04-01
131,Funimation,PS4,3,1,2021-04-07,2021-11-14,2026-04-01
132,FINAL FANTASY VII,PS4,3,6,2024-10-04,2024-11-11,2026-04-01
133,FINAL FANTASY XV,PS4,3,2,2024-07-19,2024-07-20,2026-04-01
134,Lies of P,PS5,3,3,2025-08-26,2025-08-29,2026-04-01
135,Marvel's Spider-Man,PS5,2,2,2025-12-05,2025-12-06,2026-04-01
136,HBO Max (2nd entry),PS4,2,2,2021-07-16,2022-04-24,2026-04-01
137,Disaster Report 4 Plus: Summer Memories,PS4,2,2,2023-06-27,2023-06-27,2026-04-01
138,It Takes Two (PS5),PS5,2,6,2021-05-30,2022-12-26,2026-04-01
139,Crystal of Atlan,PS5,2,1,2025-05-30,2025-05-30,2026-04-01
140,Overwatch 2 (PS4),PS4,2,6,2021-04-05,2022-04-15,2026-04-01
