Rank,Game,Platform,Hours Played,Sessions,First Played,Last Played,Last Update,Days Active,Avg Session Hr,Engagement Tier,Genre,Gen,Top_Download_Year,Store_Category,Store_Region,Was_Top_Download
117,Hades,PS4,4.0,3,2022-12-29,2025-04-08,2026-04-01,832,1.33,Casual,Indie/Platformer,PS4,,,,False
118,FIFA 22,PS5,4.0,3,2022-12-20,2022-12-24,2026-04-01,5,1.33,Casual,Sports,PS5,,,,False
119,Bayonetta,PS4,4.0,6,2024-12-09,2025-01-13,2026-04-01,36,0.67,Casual,Other,PS4,,,,False
120,Doki Doki Literature Club Plus! (PS5),PS5,4.0,6,2024-10-04,2025-01-18,2026-04-01,107,0.67,Casual,Other,PS5,,,,False
121,Roblox,PS4,4.0,2,2024-10-08,2024-11-22,2026-04-01,46,2.0,Casual,Other,PS4,,,,False
122,Need for Speed Unbound,PS5,4.0,2,2023-05-17,2023-05-20,2026-04-01,4,2.0,Casual,Other,PS5,2023.0,PS5 Games,EU,True
123,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,PS5,4.0,13,2023-12-25,2024-09-21,2026-04-01,272,0.31,Casual,Other,PS5,,,,False
124,Apex Legends,PS5,3.0,2,2025-04-14,2025-04-14,2026-04-01,1,1.5,Casual,Action/Shooter,PS5,,,,False
125,Castle Crashers Remastered,PS4,3.0,3,2021-11-27,2025-08-22,2026-04-01,1365,1.0,Casual,Other,PS4,,,,False
126,Tales of Arise,PS4,3.0,2,2024-10-04,2024-11-11,2026-04-01,39,1.5,Casual,Other,PS4,,,,False
127,Team Sonic Racing,PS4,4.0,6,2022-06-23,2022-12-26,2026-04-01,187,0.67,Casual,Other,PS4,,,,False
128,Battlefield V,PS4,3.0,6,2024-10-14,2024-12-06,2026-04-01,54,0.5,Casual,Other,PS4,2025.0,PS4 Games,EU,True
129,Atelier Yumia,PS5,3.0,1,2025-05-11,2025-05-11,2026-04-01,1,3.0,Casual,Other,PS5,,,,False
130,Zenless Zone Zero,PS5,3.0,3,2024-07-06,2025-05-15,2026-04-01,314,1.0,Casual,Gacha/RPG,PS5,,,,False
132,FINAL FANTASY VII,PS4,3.0,6,2024-10-04,2024-11-11,2026-04-01,39,0.5,Casual,RPG,PS4,,,,False
133,FINAL FANTASY XV,PS4,3.0,2,2024-07-19,2024-07-20,2026-04-01,2,1.5,Casual,RPG,PS4,,,,False
134,Lies of P,PS5,3.0,3,2025-08-26,2025-08-29,2026-04-01,4,1.0,Casual,Other,PS5,,,,False
135,Marvel's Spider-Man,PS5,2.0,2,2025-12-05,2025-12-06,2026-04-01,2,1.0,Casual,Other,PS5,,,,False
136,HBO Max (2nd entry),PS4,2.0,2,2021-07-16,2022-04-24,2026-04-01,283,1.0,Casual,Other,PS4,,,,False
137,Disaster Report 4 Plus: Summer Memories,PS4,2.0,2,2023-06-27,2023-06-27,2026-04-01,1,1.0,Casual,Other,PS4,,,,False
138,It Takes Two (PS5),PS5,2.0,6,2021-05-30,2022-12-26,2026-04-01,576,0.33,Casual,Other,PS5,,,,False
139,Crystal of Atlan,PS5,2.0,1,2025-05-30,2025-05-30,2026-04-01,1,2.0,Casual,Other,PS5,,,,False
140,Overwatch 2 (PS4),PS4,2.0,6,2021-04-05,2022-04-15,2026-04-01,376,0.33,Casual,Other,PS4,,,,False
141,CODE VEIN,PS4,2.0,1,2023-03-13,2023-03-13,2026-04-01,1,2.0,Casual,Other,PS4,,,,False
142,Split Fiction,PS5,2.0,1,2026-01-04,2026-01-04,2026-04-01,1,2.0,Casual,Other,PS5,2025.0,PS5 Games,EU,True
143,Madden NFL 19,PS4,2.0,2,2025-08-22,2025-08-23,2026-04-01,2,1.0,Casual,Other,PS4,,,,False
144,CRYSTAR,PS4,2.0,3,2024-07-01,2025-04-11,2026-04-01,285,0.67,Casual,Other,PS4,,,,False
145,Overcooked 2,PS4,2.0,1,2024-06-20,2024-06-20,2026-04-01,1,2.0,Casual,Other,PS4,,,,False
146,Tiny Tina's Wonderlands,PS5,2.0,2,2022-04-26,2022-06-22,2026-04-01,58,1.0,Casual,Other,PS5,,,,False
